id,prompt,refs,model,quality,resolution,aspectRatio
01-nano-diana,"图1是画风参考，图2是角色参考。用图1的画风重绘图2的角色：Q版软萌、粗描边、圆润线条、扁平平涂、低饱和柔和配色。保留金色长发、头顶红色大蝴蝶结、黄色星星发夹、红色长袖外套配白色前襟、卡其色百褶裙、白色长袜、黑色鞋子、蓝色眼睛。只画一个正面全身立绘，白色背景。",refs/Diana.jpg|refs/常服.png,gemini-2.5-flash-image,,,3:4
02-gpt-low-diana,"图1是画风参考，图2是角色参考。用图1的画风重绘图2的角色：Q版软萌、粗描边、圆润线条、扁平平涂、低饱和柔和配色。保留金色长发、头顶红色大蝴蝶结、黄色星星发夹、红色长袖外套配白色前襟、卡其色百褶裙、白色长袜、黑色鞋子、蓝色眼睛。只画一个正面全身立绘，白色背景。",refs/Diana.jpg|refs/常服.png,gpt-image-2,low,1K,3:4
03-gpt-med-2k-diana,"图1是画风参考，图2是角色参考。用图1的画风重绘图2的角色：Q版软萌、粗描边、圆润线条、扁平平涂、低饱和柔和配色。保留金色长发、头顶红色大蝴蝶结、黄色星星发夹、红色长袖外套配白色前襟、卡其色百褶裙、白色长袜、黑色鞋子、蓝色眼睛。只画一个正面全身立绘，白色背景。",refs/Diana.jpg|refs/常服.png,gpt-image-2,medium,2K,3:4
04-reverse-style,"图1是角色和构图参考，图2是画风参考。用图2的画风（精细日系动画上色、明亮配色、细描边、完整高光）重绘图1：戴兔子耳朵睡帽的棕发女孩，闭眼抱着白色小熊，躺在被子里。保持温馨夜晚氛围。",refs/Diana.jpg|refs/常服.png,gpt-image-2,low,1K,1:1
05-poster-auto,"参考图1的画风质感，把参考图2的角色做成一张极简海报：纯色背景、几何色块、少量装饰元素。保留角色的金色长发、红色蝴蝶结、红白配色外套。",refs/Diana.jpg|refs/常服.png,gpt-image-2,low,1K,Auto
